course_id,semester,name
0041,20W,Research Seminar - Fokus Risikomanagement und Versicherungswirtschaft
0246,20W,Finanzierung
0247,20W,Finanzierung
0250,20W,Fremdsprachliche Wirtschaftskommunikation II - Englisch (PILOT)
0276,20W,Finanzierung
0277,20W,Finanzierung
0318,20W,Fremdsprachliche Wirtschaftskommunikation II - Französisch
0413,20W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0636,20W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0637,20W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0746,20W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0747,20W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0748,20W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
1355,20W,Global Consumer Behavior
1513,20W,Introduction to German Language and Austrian Life & Culture
1782,20W,Wirtschafts- und Finanzpolitik für Jurist/inn/en
1855,20W,E&I Zone 3 / K5 - FBI Kurs V: Fintech Lab: Design your own Startup
1871,20W,Vorbereitender Deutschkurs für Incoming Austauschstudierende (Anfänger)
1984,20W,Advanced Subject in Economics - International Economics
1985,20W,"Advanced Subject in Economics - Money, Credit and Finance"
2058,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 1)
2059,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 2)
2060,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 3)
2061,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 4)
2062,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 5)
2063,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 6)
2064,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 7)
2065,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 8)
2066,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 9)
2067,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 10)
2068,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 11)
2069,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 12)
2070,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 13)
2071,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 14)
2072,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 15)
2073,20W,Starting@WU: Skills und Best Practices für das erfolgreiche (digitale) Studieren. (Gruppe 16)
2086,20W,Advanced Subject in Economics - Labour and Organisational Economics
2148,20W,Internship Seminar
2245,20W,International Tax Policy
8001,20W,Global EMBA 20/21 - Financial Management
8002,20W,Global EMBA 20/21 - Operations and Supply Chain Management
8011,20W,ULG Logistik & Supply Chain Management 20/22
8013,20W,PMBA Finance 19/21 - Financial Risk Management and Financial Innovation in Global Financial Markets
8014,20W,PMBA Finance 19/21 - Corporate Finance
8016,20W,PMBA MS 19/21 - Brand Management
8017,20W,PMBA MS 19/21 - Integrated Marketing Communication
8018,20W,PMBA MS 19/21 - Digital Marketing
8019,20W,PMBA MS 19/21 - Strategic Sales Force Management
8020,20W,PMBA MS 19/21 - Key Account Management & CRM
8021,20W,PMBA MS 19/21 - Marketing & Sales -Audit & Controlling
8022,20W,PMBA MS 19/21 - Marketing & Sales - Lab
8023,20W,PMBA PM 19/21 - Advanced Project Management I
8024,20W,PMBA PM 19/21 - Advanced Project Management II
8025,20W,Global EMBA 20/21 - Managing Globalization
8026,20W,Global EMBA 20/21 - Information Technology Management
8027,20W,MLS 19/21 - Öffentliches Wirtschaftsrecht und Europarecht
8028,20W,MLS 19/21 - Steuerrecht
8030,20W,PMBA Entrepreneurship & Innovation 19/21 - Marketing of Innovation
8031,20W,PMBA Entrepreneurship & Innovation 19/21 - Organization of Innovation
8032,20W,PMBA Entrepreneurship & Innovation 19/21 - Sources of Innovation
8033,20W,PMBA Entrepreneurship & Innovation 19/21 - Strategy of Innovation
8036,20W,PMBA HCM 20/22 - Organisation
8037,20W,PMBA HCM 20/22 - Mikroökonomie
8038,20W,PMBA HCM 20/22 - Finanz- und Rechnungswesen
8039,20W,PMBA HCM 20/22 - Controlling
8042,20W,PMBA HCM 20/22 - Controlling in Gesundheitsorganisationen
8043,20W,PMBA HCM 19/21 - Daten- und Entscheidungsanalyse
8044,20W,PMBA HCM 19/21 - Prozessmanagement
8046,20W,PMBA HCM 19/21 - Unternehmenssimulation
8047,20W,PMBA HCM 19/21 - Medizinrecht
8048,20W,PMBA HCM 19/21 - Sozial- und Arbeitsrecht
8049,20W,PMBA HCM 19/21 - Projektmanagement
8051,20W,PMBA HCM Upgrade 20/21 - Daten- und Entscheidungsanalyse
8053,20W,PMBA HCM Upgrade 20/21 - Special Topics
8054,20W,PMBA HCM Upgrade 20/21 - Systemdenken und Komplexitätsmanagement
8056,20W,PMBA Digital Transformation & Data Science 19/21 - Concepts & Application Domains
8057,20W,PMBA Digital Transformation & Data Science 19/21 - From Data Science to Big Data
8058,20W,PMBA Digital Transformation & Data Science 19/21 - Trends & Outlook on Data Science
8060,20W,EMBA Bucharest 20/22 - Competitive Analysis and Strategy
8061,20W,"EMBA Bucharest 20/22 - Business, Government, and Macroeconomics"
8062,20W,EMBA Bucharest 20/22 - Executive Lab
8063,20W,Diplom BetriebswirtIn 20/22
8064,20W,PMBA Business Core I 20/21 - Managing People
8065,20W,PMBA Business Core II 20/21 - Managing People
8066,20W,PMBA Business Core III 20/21 - Managing People
8067,20W,PMBA Business Core I 20/21 - Competitive Analysis and Strategy
8068,20W,PMBA Business Core II 20/21 - Competitive Analysis and Strategy
8072,20W,PMBA Business Core III 20/21 - Entrepreneurship and Innovation
8073,20W,PMBA Business Core I 20/21 - Managerial Economics
8074,20W,PMBA Business Core II 20/21 - Managerial Economics
8078,20W,PMBA Business Core III 20/21 - Data Analysis and Decision Making
8079,20W,PMBA Business Core I 20/21 - Financial Reporting
8081,20W,PMBA Business Core III 20/21 - Financial Reporting
8082,20W,PMBA Business Core I 20/21 - Financial Management
8085,20W,PMBA Business Core I 20/21 - Controlling
8086,20W,PMBA Business Core II 20/21 - Controlling
