course_id,semester,name
8090,20W,PMBA Business Core III 20/21 - Marketing Management
8091,20W,PMBA Business Core I 20/21 - Global Markets
8092,20W,PMBA Business Core II 20/21 - Global Markets
8095,20W,PMBA Business Core II 20/21 - Operations Management
8098,20W,PMBA Business Core II 20/21 - Information Systems Management
8100,20W,PMBA Business Core I 20/21 - Leadership
8101,20W,PMBA Business Core II 20/21 - Leadership
8102,20W,PMBA Business Core III 20/21 - Leadership
8103,20W,PMBA Business Core I 20/21 - Ethics and Corporate Social Responsibility
8104,20W,PMBA Business Core II 20/21 - Ethics and Corporate Social Responsibility
8105,20W,PMBA Business Core III 20/21 - Ethics and Corporate Social Responsibility
8106,20W,PMBA Energy Management 20/22 - Global Energy Markets and Market Regulation
8107,20W,PMBA Energy Management 20/22 - Global Energy Outlook and Energy Policy
8108,20W,PMBA Energy Management 20/22 - Global Energy Phenomena: Renewable Energy - Foundations and Markets
8109,20W,PMBA Energy Management 20/22 - Global Energy Market Structure: Regulation
8110,20W,PMBA Energy Management 20/22 - Global Energy Submarkets: Value Chain Perspectives
8111,20W,ULG Tourismus- und Eventmanagement 19/21
8112,20W,ULG Marketing & Sales 19/21
8113,20W,Professional Master 20/21
8114,20W,ULG Marketing & Sales 20/22
8115,20W,Diplom BetriebswirtIn 19/21
8116,20W,ULG Risiko- und Versicherungsmanagement 19/21
