course_id,semester,name,roomcode,buildingname,start,end
0004,19W,Fremdsprachliche Wirtschaftskommunikation II - Russisch,D4.0.019,D4,2019-11-14T12:45:00,2019-11-14T15:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.02,TC,2019-10-08T10:30:00,2019-10-08T13:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.02,TC,2019-10-15T10:30:00,2019-10-15T12:30:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2019-10-22T09:00:00,2019-10-22T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2019-10-29T09:00:00,2019-10-29T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2019-11-05T09:00:00,2019-11-05T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2019-11-12T09:00:00,2019-11-12T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2019-12-03T09:00:00,2019-12-03T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2019-12-10T09:00:00,2019-12-10T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2019-12-17T09:00:00,2019-12-17T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2020-01-07T09:00:00,2020-01-07T11:00:00
0005,19W,Einführung in die Wirtschaftsgeographie,TC.2.01,TC,2020-01-14T09:00:00,2020-01-14T11:00:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.1.02,TC,2019-10-14T11:00:00,2019-10-14T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.1.02,TC,2019-10-16T11:00:00,2019-10-16T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-10-21T11:00:00,2019-10-21T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-10-23T11:00:00,2019-10-23T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-10-28T11:00:00,2019-10-28T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-10-30T11:00:00,2019-10-30T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-11-04T11:00:00,2019-11-04T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-11-06T11:00:00,2019-11-06T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-11-11T11:00:00,2019-11-11T13:30:00
0006,19W,Grundlagen der Volkswirtschaftslehre,TC.0.10 Audimax,TC,2019-11-13T11:00:00,2019-11-13T13:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-10-15T14:00:00,2019-10-15T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-10-17T14:00:00,2019-10-17T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-10-22T14:00:00,2019-10-22T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-10-24T14:00:00,2019-10-24T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-10-29T14:00:00,2019-10-29T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-10-31T14:00:00,2019-10-31T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-11-05T14:00:00,2019-11-05T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-11-07T14:00:00,2019-11-07T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-11-12T14:00:00,2019-11-12T16:30:00
0007,19W,Grundlagen der Volkswirtschaftslehre,TC.0.04,TC,2019-11-14T14:00:00,2019-11-14T16:30:00
