course_id,semester,name
8073,19W,PMBA Business Core II 19/20 - Data Analysis and Decision Making
8074,19W,PMBA Business Core III 19/20 - Data Analysis and Decision Making
8075,19W,PMBA Business Core I 19/20 - Financial Reporting
8076,19W,PMBA Business Core II 19/20 - Financial Reporting
8077,19W,PMBA Business Core III 19/20 - Financial Reporting
8078,19W,PMBA Business Core I 19/20 - Financial Management
8079,19W,PMBA Business Core II 19/20 - Financial Management
8081,19W,PMBA Business Core I 19/20 - Controlling
8082,19W,PMBA Business Core II 19/20 - Controlling
8085,19W,PMBA Business Core II 19/20 - Marketing Management
8087,19W,PMBA Business Core I 19/20 - Global Markets
8092,19W,PMBA Business Core III 19/20 - Operations Management
8095,19W,PMBA Business Core III 19/20 - Information Systems Management
8096,19W,PMBA Business Core I 19/20 - Leadership
8097,19W,PMBA Business Core II 19/20 - Leadership
8098,19W,PMBA Business Core III 19/20 - Leadership
8099,19W,PMBA Business Core I 19/20 - Ethics and Corporate Social Responsibility
8100,19W,PMBA Business Core II 19/20 - Ethics and Corporate Social Responsibility
8101,19W,PMBA Business Core III 19/20 - Ethics and Corporate Social Responsibility
8102,19W,ULG Risiko- und Versicherungsmanagement 19/21
8103,19W,MLS 19-21 - Einführung in die Rechtswissenschaften
8104,19W,MLS 19-21 - Zivilrecht
8105,19W,MLS 19-21 - Kommunikation und Informationstechnologie
8106,19W,PMBA Finance 18/20 - Financial Risk Management and Financial Innovation in Global Financial Markets
8107,19W,PMBA Finance 18/20 - Corporate Finance
