pid,name,date_of_birth,date_of_death
2528860,Abraham Frans Gips,1861-04-26T00:00:00Z,1943-09-29T00:00:00Z
2528764,Dirk Jan Postel,1957-03-11T00:00:00Z,
1965428,Uladzimir Zhbanaw,1954-01-26T00:00:00Z,2012-01-16T00:00:00Z
1965917,Mart van Schijndel,1943-06-21T00:00:00Z,1999-09-30T00:00:00Z
1704241,Josef Bachem,1881-06-30T00:00:00Z,1946-04-03T00:00:00Z
1704305,Josef Berger,1898-09-13T00:00:00Z,1989-08-22T00:00:00Z
1704504,Josef Drexler,1850-02-08T00:00:00Z,1922-06-01T00:00:00Z
1970026,Giuseppe Sacconi,1854-07-05T00:00:00Z,1905-09-23T00:00:00Z
1974817,Sybold van Ravesteyn,1889-02-18T00:00:00Z,1983-11-23T00:00:00Z
1748371,Lockwood de Forest,1850-06-08T00:00:00Z,1932-04-03T00:00:00Z
1751822,Johann Ulrich Himbsel,1787-01-30T00:00:00Z,1860-04-27T00:00:00Z
2531349,Oriol Bohigas,1925-12-20T00:00:00Z,
2531274,George van Heukelom,1870-03-29T00:00:00Z,1952-02-17T00:00:00Z
1897014,Mariano Smiriglio,1561-01-01T00:00:00Z,1636-01-01T00:00:00Z
1897652,Jan Tanghe,1929-01-21T00:00:00Z,2003-09-05T00:00:00Z
1974426,Johan Mutters,1858-11-05T00:00:00Z,1930-12-14T00:00:00Z
1974426,Johan Mutters,1858-10-15T00:00:00Z,1930-12-14T00:00:00Z
1704983,Josef Kleesattel,1852-03-01T00:00:00Z,1926-03-29T00:00:00Z
1704937,Josef Kaiser,1910-05-01T00:00:00Z,1991-10-05T00:00:00Z
1959452,Karl Opperman,1766-12-04T00:00:00Z,1831-07-02T00:00:00Z
1954821,Ghijsbert Theunisz. van Vianen,1612-01-01T00:00:00Z,1707-01-01T00:00:00Z
1959461,Karel De Wulf,1865-01-25T00:00:00Z,1904-01-08T00:00:00Z
1704817,Josef Hofbauer,1875-05-23T00:00:00Z,1936-02-19T00:00:00Z
1704932,Josef Jäger,1721-03-18T00:00:00Z,1793-09-16T00:00:00Z
1704875,Josef Hudetz,1842-08-07T00:00:00Z,1909-12-16T00:00:00Z
2529473,Vladimír Fischer,1870-07-04T00:00:00Z,1947-10-28T00:00:00Z
2529473,Vladimír Fischer,1870-06-04T00:00:00Z,1947-10-28T00:00:00Z
1895984,Daniel Ray Hull,1890-04-29T00:00:00Z,1964-12-15T00:00:00Z
1879486,Léonce-Abel Mazoyer,1848-11-16T00:00:00Z,1910-07-21T00:00:00Z
1879491,Léonie Geisendorf,1914-04-08T00:00:00Z,2016-03-17T00:00:00Z
2530379,Henry Bacon,1866-11-28T00:00:00Z,1924-02-16T00:00:00Z
1889777,Manfred Pertlwieser,1935-04-06T00:00:00Z,2015-02-19T00:00:00Z
1891629,Pierre Contant d'Ivry,1698-05-11T00:00:00Z,1777-10-01T00:00:00Z
1892514,Willem Cornelis Mulder,1850-02-23T00:00:00Z,1920-12-04T00:00:00Z
1891800,Manuel de Amat y Junie,1707-03-21T00:00:00Z,1782-02-14T00:00:00Z
1892314,Christiaan Posthumus Meyjes Jr.,1893-05-09T00:00:00Z,1974-01-01T00:00:00Z
2533343,Sedefkar Mehmed Agha,1540-01-01T00:00:00Z,1617-01-01T00:00:00Z
2533900,Dmitry Ukhtomsky,1719-01-01T00:00:00Z,1774-10-26T00:00:00Z
1752283,Roger Saubot,1931-06-06T00:00:00Z,1999-06-25T00:00:00Z
2526438,Vincenc Mašek,1755-04-05T00:00:00Z,1831-11-15T00:00:00Z
1606641,Henry Cunibert,1891-10-06T00:00:00Z,1954-12-12T00:00:00Z
1606918,Henry James,1803-06-08T00:00:00Z,1877-06-14T00:00:00Z
1606918,Henry James,1803-06-08T00:00:00Z,1877-01-01T00:00:00Z
1606918,Henry James,1803-01-01T00:00:00Z,1877-06-14T00:00:00Z
1606918,Henry James,1803-01-01T00:00:00Z,1877-01-01T00:00:00Z
1606517,Henry Berthold von Fischer,1861-01-07T00:00:00Z,1949-06-28T00:00:00Z
1964407,Momik,1300-01-01T00:00:00Z,1333-01-01T00:00:00Z
1963946,Cornelis Catharinus Jacobus Welleman,1900-10-08T00:00:00Z,1963-10-11T00:00:00Z
2538186,Jan Stuivinga,1881-10-26T00:00:00Z,1962-06-04T00:00:00Z
1608353,Herbert Groethuysen,1921-08-19T00:00:00Z,2020-12-30T00:00:00Z
1608030,Louis-Simon Boizot,1743-10-09T00:00:00Z,1809-03-10T00:00:00Z
1747780,Aldo Andreani,1887-08-01T00:00:00Z,1971-01-01T00:00:00Z
1747780,Aldo Andreani,1887-08-01T00:00:00Z,1971-10-18T00:00:00Z
1898747,Mario De Renzi,1897-11-17T00:00:00Z,1967-11-22T00:00:00Z
1608972,Herbert Rimpl,1902-01-25T00:00:00Z,1978-06-02T00:00:00Z
1898578,Marinus Cadart,1700-01-01T00:00:00Z,
1898593,Marinus Jan Granpré Molière,1883-10-13T00:00:00Z,1972-02-14T00:00:00Z
1898955,Victor Louis,1731-05-10T00:00:00Z,1800-07-02T00:00:00Z
1757323,Stanislaw Brukalski,1894-05-08T00:00:00Z,1967-01-21T00:00:00Z
1975202,Hendrik Sangster,1892-06-01T00:00:00Z,1971-05-24T00:00:00Z
1611273,Mikayil Huseynov,1905-04-19T00:00:00Z,1992-10-07T00:00:00Z
1752842,Konstanty Gutschow,1902-12-10T00:00:00Z,1978-06-08T00:00:00Z
1752687,Theodor Goetz,1806-02-28T00:00:00Z,1885-10-30T00:00:00Z
2534343,Barthélemy Digneffe,1724-10-06T00:00:00Z,1784-06-14T00:00:00Z
2535925,Gonçalo Byrne,1941-12-06T00:00:00Z,
2534811,Jan Kuijt,1884-06-27T00:00:00Z,1944-02-09T00:00:00Z
1610633,Hermann Baur,1894-08-25T00:00:00Z,1980-12-20T00:00:00Z
2541120,Hendrik Beyaert,1823-07-29T00:00:00Z,1894-01-22T00:00:00Z
1752520,Konrad Wohlhage,1953-12-03T00:00:00Z,2007-09-28T00:00:00Z
1752623,Roberto Marinho,1904-12-03T00:00:00Z,2003-08-06T00:00:00Z
1608564,Herbert Luck North,1871-01-01T00:00:00Z,1941-02-09T00:00:00Z
1896303,Maria Schwarz,1921-10-03T00:00:00Z,2018-02-15T00:00:00Z
2399468,Co Brandes,1884-12-27T00:00:00Z,1955-12-13T00:00:00Z
2398991,Thomas Germain,1673-08-15T00:00:00Z,1748-08-14T00:00:00Z
2397634,Giovanni Battista Contini,1642-05-07T00:00:00Z,1723-10-16T00:00:00Z
1755224,Tilman-François Suys,1783-07-01T00:00:00Z,1861-07-11T00:00:00Z
2535954,Willem Gerrit Witteveen,1891-03-01T00:00:00Z,1979-04-24T00:00:00Z
2536600,Albert Van huffel,1877-01-20T00:00:00Z,1935-03-17T00:00:00Z
2537308,Louis Majorelle,1859-09-26T00:00:00Z,1926-01-15T00:00:00Z
1610965,Hermann Eberhard Pflaume,1869-03-06T00:00:00Z,1921-12-11T00:00:00Z
1611041,Hermann Fehling,1909-09-10T00:00:00Z,1996-01-11T00:00:00Z
1611958,Hermann Leitenstorfer,1886-11-07T00:00:00Z,1972-11-05T00:00:00Z
1611552,Hermann Hug,1825-07-02T00:00:00Z,1888-09-30T00:00:00Z
1611691,Hermann Joseph Hürth,1847-05-17T00:00:00Z,1935-02-21T00:00:00Z
1650396,Joseph Pickford,1736-01-01T00:00:00Z,1782-01-01T00:00:00Z
1610676,Hermann Bergmann,1816-10-20T00:00:00Z,1886-05-26T00:00:00Z
1610918,Hermann Distel,1875-09-05T00:00:00Z,1945-08-05T00:00:00Z
1610864,Hermann Cuno,1831-01-16T00:00:00Z,1896-07-24T00:00:00Z
1613071,Hermann Wielers,1845-01-01T00:00:00Z,1917-01-01T00:00:00Z
1613158,Hermann Zweigenthal,1904-04-04T00:00:00Z,1968-10-07T00:00:00Z
1975528,Ivan Hryhorovych-Barskyi,1713-01-01T00:00:00Z,1785-09-10T00:00:00Z
1610424,Hermann-Josef Geismann,1930-08-01T00:00:00Z,2018-06-23T00:00:00Z
1610512,Hermann Aichinger,1885-05-14T00:00:00Z,1962-06-26T00:00:00Z
1612562,Hermann Schaedtler,1857-08-28T00:00:00Z,1931-03-28T00:00:00Z
1613017,Hermann Weigand,1854-02-02T00:00:00Z,1926-10-16T00:00:00Z
1612317,Hermann Pflaume,1830-01-26T00:00:00Z,1901-08-04T00:00:00Z
1765967,Robert Raschka,1847-08-05T00:00:00Z,1908-04-19T00:00:00Z
1766517,Alois Bohn,1879-11-16T00:00:00Z,1937-01-07T00:00:00Z
1764706,Per Olof Hallman,1869-05-16T00:00:00Z,1941-07-18T00:00:00Z
1769830,Ron Herron,1930-08-12T00:00:00Z,1994-10-01T00:00:00Z
1769830,Ron Herron,1930-08-12T00:00:00Z,1994-10-02T00:00:00Z
2541219,Barend Hooijkaas jr.,1855-04-09T00:00:00Z,1943-01-05T00:00:00Z
1612188,Hermann Mäckler,1910-01-16T00:00:00Z,1985-10-24T00:00:00Z
1612233,Hermann Nebel,1816-07-31T00:00:00Z,1893-07-23T00:00:00Z
1612068,Hermann Mattern,1902-11-27T00:00:00Z,1971-11-17T00:00:00Z
2063078,Adriaan Willem Weissman,1858-03-04T00:00:00Z,1923-09-13T00:00:00Z
2062678,Paul Tafel,1875-01-01T00:00:00Z,2000-01-01T00:00:00Z
2062764,Paul Thoemer,1851-06-20T00:00:00Z,1918-06-03T00:00:00Z
1901009,Jacobus Pieter Stok,1862-11-11T00:00:00Z,1942-02-20T00:00:00Z
1899472,Pieter Marinus Arnoldus Huurman,1863-09-25T00:00:00Z,1944-11-15T00:00:00Z
1610651,Karl Hermann Behaghel,1839-01-06T00:00:00Z,1921-04-07T00:00:00Z
1650503,Vincenzo Micheli,1833-01-01T00:00:00Z,1905-01-01T00:00:00Z
2110166,N. Biezeveld,1849-01-01T00:00:00Z,1934-01-01T00:00:00Z
1760238,Roland Ostertag,1931-02-19T00:00:00Z,2018-05-11T00:00:00Z
1762980,Otto Blendermann,1879-09-17T00:00:00Z,1944-11-04T00:00:00Z
1763917,Sebastian Altmann,1827-01-19T00:00:00Z,1894-07-27T00:00:00Z
2062598,Paul Stohrer,1909-08-03T00:00:00Z,1975-06-30T00:00:00Z
2062404,Paul Seitz,1911-10-21T00:00:00Z,1989-02-21T00:00:00Z
2062669,Paul Sültenfuß,1872-08-12T00:00:00Z,1937-04-28T00:00:00Z
1770883,Lars Backer,1892-01-05T00:00:00Z,1930-06-07T00:00:00Z
1771239,Robert Trent Jones,1906-06-20T00:00:00Z,2000-06-14T00:00:00Z
1770593,Christian Thams,1867-09-09T00:00:00Z,1948-05-22T00:00:00Z
1902859,Adolf Daniël Nicolaas van Gendt,1870-08-17T00:00:00Z,1932-03-25T00:00:00Z
1904275,Martin Knauthe,1889-05-30T00:00:00Z,1942-02-07T00:00:00Z
1903961,Martin Heinrich Hammitzsch,1878-05-22T00:00:00Z,1945-06-05T00:00:00Z
1903961,Martin Heinrich Hammitzsch,1878-05-22T00:00:00Z,1945-05-12T00:00:00Z
2408130,Charles Mewès,1858-01-30T00:00:00Z,1914-08-09T00:00:00Z
1771508,Luis Peña Gantxegi,1926-03-29T00:00:00Z,2009-04-02T00:00:00Z
1340464,Paul Berger,1889-04-08T00:00:00Z,1949-03-30T00:00:00Z
2402612,Jean-Antoine Alavoine,1778-01-15T00:00:00Z,1834-11-15T00:00:00Z
2400215,Charles H. Purcell,1883-01-27T00:00:00Z,1951-09-07T00:00:00Z
2403124,Édouard Lamy,1845-03-12T00:00:00Z,1914-11-30T00:00:00Z
1772172,Robert Rehlen,1859-01-01T00:00:00Z,1941-04-23T00:00:00Z
1340172,Francisco Mangado,1957-01-01T00:00:00Z,
1899033,Jules Brunfaut,1852-01-01T00:00:00Z,1942-01-01T00:00:00Z
2066238,Lucas Christiaan Dumont,1865-12-07T00:00:00Z,1935-06-22T00:00:00Z
2066496,Tjeerd Venstra,1889-03-23T00:00:00Z,1977-05-14T00:00:00Z
2108911,Dolf van Gendt,1835-04-18T00:00:00Z,1900-04-28T00:00:00Z
2412773,Giovanni Michelazzi,1879-01-01T00:00:00Z,1920-01-01T00:00:00Z
1773997,William Edwards,1719-02-01T00:00:00Z,1789-08-07T00:00:00Z
1772857,Sven-Ingvar Andersson,1927-08-22T00:00:00Z,2007-07-27T00:00:00Z
1775191,Paul Bratring,1840-12-07T00:00:00Z,1913-12-01T00:00:00Z
1774223,Luigi Manini,1848-03-08T00:00:00Z,1936-06-29T00:00:00Z
1340974,Tachū Naitō,1886-06-12T00:00:00Z,1970-08-25T00:00:00Z
1337287,Pedro Machuca,1490-01-01T00:00:00Z,1550-01-01T00:00:00Z
2411618,Jan Gratama,1877-08-17T00:00:00Z,1947-12-12T00:00:00Z
2407277,Louis-Napoléon Audet,1881-08-14T00:00:00Z,1971-01-01T00:00:00Z
2406335,Christine Conix,1955-05-20T00:00:00Z,
2404853,Jean-Baptiste Guenepin,1807-07-25T00:00:00Z,1888-01-04T00:00:00Z
2408342,Clemens Hardeman,1893-11-28T00:00:00Z,1963-10-23T00:00:00Z
2066635,Richard Upjohn,1802-01-22T00:00:00Z,1878-08-16T00:00:00Z
2066635,Richard Upjohn,1802-01-22T00:00:00Z,1878-02-17T00:00:00Z
2063124,Paul Eduard Sprenger,1798-08-20T00:00:00Z,1854-10-29T00:00:00Z
2063804,Sytze Wierda,1839-02-28T00:00:00Z,1911-12-10T00:00:00Z
2063344,Paul du Ry,1640-01-01T00:00:00Z,1714-06-21T00:00:00Z
2410484,Robert Dennis Chantrell,1793-01-01T00:00:00Z,1872-01-01T00:00:00Z
1338299,Emmanuel Héré de Corny,1705-10-12T00:00:00Z,1763-02-02T00:00:00Z
1618128,Hilary Szpilowski,1753-01-01T00:00:00Z,1827-03-10T00:00:00Z
1618128,Hilary Szpilowski,1753-01-01T00:00:00Z,1827-01-01T00:00:00Z
1614784,Julius Löwe,1690-01-01T00:00:00Z,1752-01-01T00:00:00Z
1769847,Robert Mylne,1733-01-04T00:00:00Z,1811-05-05T00:00:00Z
1776218,Nikolaus von der Nonne,1834-06-28T00:00:00Z,1908-08-26T00:00:00Z
1771344,Alfred Hensen,1869-05-25T00:00:00Z,1931-07-20T00:00:00Z
2112375,Edme Verniquet,1727-10-10T00:00:00Z,1804-11-26T00:00:00Z
2111900,Albert Jan Feberwee,1896-01-27T00:00:00Z,1977-03-06T00:00:00Z
1342809,Giovanni Francesco Grimaldi,1606-01-01T00:00:00Z,1680-11-28T00:00:00Z
1343752,Enrico Del Debbio,1891-05-26T00:00:00Z,1973-07-12T00:00:00Z
1342867,Polykleitos the Younger,-0400-01-01T00:00:00Z,-0360-01-01T00:00:00Z
1908470,Mathias Gasteiger,1871-06-24T00:00:00Z,1934-07-07T00:00:00Z
1906164,Marx Schinnagl,1612-10-10T00:00:00Z,1681-07-01T00:00:00Z
2121728,Pieter de Swart,1709-01-01T00:00:00Z,1772-01-01T00:00:00Z
1775325,Richard Knill Freeman,1840-01-01T00:00:00Z,1904-06-24T00:00:00Z
2129397,Ralf Schüler,1930-10-26T00:00:00Z,2011-03-10T00:00:00Z
2129620,Ralph Freeman,1880-11-27T00:00:00Z,1950-03-11T00:00:00Z
2131299,Raoul Verlet,1857-09-07T00:00:00Z,1923-12-01T00:00:00Z
2130178,Jacques de Lalaing,1858-11-04T00:00:00Z,1917-10-10T00:00:00Z
1770335,George Dance the Younger,1741-04-01T00:00:00Z,1825-01-14T00:00:00Z
1342762,Quinlan Terry,1937-07-24T00:00:00Z,
1778375,Harald Aars,1875-05-31T00:00:00Z,1945-06-04T00:00:00Z
1341719,François-Léon Benouville,1821-03-30T00:00:00Z,1859-02-16T00:00:00Z
1341942,Engelbert Mang,1883-09-01T00:00:00Z,1955-02-14T00:00:00Z
1341974,Engelbert Seibertz,1856-02-22T00:00:00Z,1929-02-17T00:00:00Z
2116566,Carel Adolph Lion Cachet,1864-11-28T00:00:00Z,1945-05-15T00:00:00Z
2113290,Johan Rückert,1879-10-03T00:00:00Z,1918-11-15T00:00:00Z
2115926,Ivan Kudrjavzev,1904-04-13T00:00:00Z,1995-08-13T00:00:00Z
2134288,Raymond du Temple,1400-01-01T00:00:00Z,1404-01-01T00:00:00Z
2133875,Ferdinand Jacob Nieuwenhuis,1848-08-09T00:00:00Z,1919-02-16T00:00:00Z
2134192,William Jelley,1856-10-16T00:00:00Z,1932-10-05T00:00:00Z
1342373,Franz Kaym,1891-06-20T00:00:00Z,1949-02-12T00:00:00Z
2413051,Bernardus Joannes Koldewey,1895-05-29T00:00:00Z,1958-08-01T00:00:00Z
1777577,Arne Korsmo,1900-08-14T00:00:00Z,1968-08-29T00:00:00Z
2126990,Rafael Mijares Alcérreca,1924-09-23T00:00:00Z,2015-11-09T00:00:00Z
2128062,Rainer Disse,1928-02-05T00:00:00Z,2008-02-05T00:00:00Z
1342645,Alexandre-Théodore Brongniart,1739-02-15T00:00:00Z,1813-06-06T00:00:00Z
2136223,Frits van Gendt,1831-01-01T00:00:00Z,1900-12-06T00:00:00Z
1778298,Koen van der Gaast,1923-08-10T00:00:00Z,1993-02-07T00:00:00Z
1344086,Enrique Norten,1954-02-27T00:00:00Z,
2070359,Pere Domènech i Roura,1881-01-22T00:00:00Z,1962-05-07T00:00:00Z
2125603,Jos Klijnen,1887-01-07T00:00:00Z,1973-01-10T00:00:00Z
2126236,Hermanus Kroes,1864-10-21T00:00:00Z,1952-03-06T00:00:00Z
2118823,C. F. Møller,1898-10-31T00:00:00Z,1988-11-05T00:00:00Z
2118101,Serge Chermayeff,1900-10-08T00:00:00Z,1996-05-08T00:00:00Z
2413997,Jacques-Barthélemy Renoz,1729-08-28T00:00:00Z,1786-10-02T00:00:00Z
2136479,Gerlof Salm,1831-01-01T00:00:00Z,1897-04-05T00:00:00Z
2141496,Reinhold Persius,1835-08-27T00:00:00Z,1912-12-12T00:00:00Z
2725996,Hugues Sambin,1520-01-01T00:00:00Z,1601-01-01T00:00:00Z
2139183,Alexander Bodon,1906-09-06T00:00:00Z,1993-01-22T00:00:00Z
2072314,Alexei Andreyuk,1959-07-30T00:00:00Z,
2073991,Isaac Gosschalk,1838-04-18T00:00:00Z,1907-10-10T00:00:00Z
2068088,Emmanuel Pontremoli,1865-01-13T00:00:00Z,1956-07-22T00:00:00Z
2069221,Vilhelm Petersen,1830-04-05T00:00:00Z,1913-07-03T00:00:00Z
2416848,Hendrik Ovink,1836-10-06T00:00:00Z,1924-10-09T00:00:00Z
2415490,Taeke Boonstra,1850-10-07T00:00:00Z,1932-03-12T00:00:00Z
2071894,Domingo de Andrade,1639-01-01T00:00:00Z,1712-11-12T00:00:00Z
1343848,Enrico Marconi,1792-01-07T00:00:00Z,1863-02-21T00:00:00Z
2071023,Marian Peretyatkovich,1872-08-23T00:00:00Z,1916-05-22T00:00:00Z
2258655,Jo van den Broek,1898-10-14T00:00:00Z,1978-09-06T00:00:00Z
2258655,Jo van den Broek,1898-10-04T00:00:00Z,1978-09-06T00:00:00Z
2736087,Amédée-François Frézier,1682-07-04T00:00:00Z,1773-10-14T00:00:00Z
1776475,John Deere,1804-02-07T00:00:00Z,1886-05-17T00:00:00Z
1777155,Alfred Runge,1881-04-25T00:00:00Z,1946-04-27T00:00:00Z
2736436,Clorindo Testa,1923-12-10T00:00:00Z,2013-04-11T00:00:00Z
2416994,Henri Camp,1821-12-06T00:00:00Z,1875-11-24T00:00:00Z
2416907,Theo Hotz,1928-08-02T00:00:00Z,2018-03-19T00:00:00Z
1453282,Fredrik Magnus Piper,1746-04-03T00:00:00Z,1824-01-22T00:00:00Z
2069774,Michiel Brinkman,1873-12-16T00:00:00Z,1925-02-19T00:00:00Z
2417424,Teodor Bursche,1893-05-31T00:00:00Z,1965-03-15T00:00:00Z
1346847,Ephraim Wolfgang Glasewald,1753-06-20T00:00:00Z,1817-04-18T00:00:00Z
1346800,Wolfgang Rauda,1907-06-02T00:00:00Z,1971-11-26T00:00:00Z
2416856,Frans Dingemans,1905-05-08T00:00:00Z,1961-01-24T00:00:00Z
2416895,Adriaan Dortsman,1635-01-01T00:00:00Z,1682-01-01T00:00:00Z
2745552,Jop van Epen,1880-03-14T00:00:00Z,1960-12-28T00:00:00Z
2744434,Theodoor Gerard Schill,1852-01-01T00:00:00Z,1914-10-15T00:00:00Z
2742817,Dick Greiner,1891-11-06T00:00:00Z,1964-11-11T00:00:00Z
2141465,Reinhold Lingner,1902-06-27T00:00:00Z,1968-01-01T00:00:00Z
2140685,Reinhard Fischer,1746-06-18T00:00:00Z,1813-06-25T00:00:00Z
2140838,Eduard Van Steenbergen,1889-08-01T00:00:00Z,1952-06-04T00:00:00Z
2140435,Mick Pearce,1938-02-06T00:00:00Z,
1347080,Josef Zítek,1832-04-04T00:00:00Z,1909-08-02T00:00:00Z
2417607,Evert Margry,1841-12-28T00:00:00Z,1891-08-08T00:00:00Z
2739984,Hiroshi Hara,1936-09-09T00:00:00Z,
2262644,Evert Jan Rotshuizen,1888-06-12T00:00:00Z,1979-09-01T00:00:00Z
2265026,Piet van Genk,1844-03-22T00:00:00Z,1919-06-23T00:00:00Z
2032354,Pietro Belluschi,1899-08-18T00:00:00Z,1994-02-14T00:00:00Z
2030244,Julius Luthmann,1890-01-28T00:00:00Z,1973-04-30T00:00:00Z
1344511,Rocco Guerrini,1525-12-24T00:00:00Z,1596-12-22T00:00:00Z
1344155,Enrique de la Mora,1907-06-16T00:00:00Z,1978-05-09T00:00:00Z
1459064,Friedrich Haindl,1910-11-27T00:00:00Z,2002-01-01T00:00:00Z
1459045,Friedrich Fahro,1857-10-31T00:00:00Z,1930-08-01T00:00:00Z
1459031,Friedrich Eugen Scholer,1874-04-10T00:00:00Z,1949-05-01T00:00:00Z
2745982,Jacques Herzog,1950-04-19T00:00:00Z,
2745982,Jacques Herzog,1950-01-01T00:00:00Z,
1345384,Karl Kergl,1897-11-17T00:00:00Z,1956-03-21T00:00:00Z
1345431,Hugo Röttcher,1878-09-14T00:00:00Z,1942-05-02T00:00:00Z
2035309,Paul Felix,1913-12-08T00:00:00Z,1981-01-05T00:00:00Z
2032889,Oscar Pfennig,1880-08-22T00:00:00Z,1963-03-06T00:00:00Z
2033923,Oskar Pusch,1877-08-23T00:00:00Z,1970-06-08T00:00:00Z
2033364,"William Douglas, 1st Earl of Douglas",1327-01-01T00:00:00Z,1384-05-01T00:00:00Z
2261618,Carlo Marchionni,1702-02-10T00:00:00Z,1786-07-28T00:00:00Z
2266045,Filippo Raguzzini,1690-07-19T00:00:00Z,1771-02-21T00:00:00Z
2417480,Theodor Dierksmeier,1908-02-27T00:00:00Z,1979-04-10T00:00:00Z
2736964,João Abel Manta,1928-01-29T00:00:00Z,
2736964,João Abel Manta,1928-01-01T00:00:00Z,
2737697,Jan Leupen,1901-04-15T00:00:00Z,1985-04-28T00:00:00Z
2739315,Leonardo Ximenes,1716-12-27T00:00:00Z,1786-05-04T00:00:00Z
1453697,Ursula Trint,1931-06-30T00:00:00Z,
2032291,Ortwin Michl,1942-01-01T00:00:00Z,
2032324,Wiek Röling,1936-06-20T00:00:00Z,2011-07-14T00:00:00Z
2958363,Charles A. Platt,1861-10-16T00:00:00Z,1933-09-12T00:00:00Z
1345492,Nicolas-Henri Jardin,1720-03-22T00:00:00Z,1799-08-31T00:00:00Z
1453765,Otto Steidle,1943-03-16T00:00:00Z,2004-02-28T00:00:00Z
2035956,Joseph Schadde,1818-08-03T00:00:00Z,1894-12-03T00:00:00Z
1460480,Vittorio Cassar,1550-01-01T00:00:00Z,1607-01-01T00:00:00Z
1460095,Friedrich Josef Ark,1807-06-30T00:00:00Z,1878-02-23T00:00:00Z
1459515,Friedrich Hartjenstein,1881-04-04T00:00:00Z,2000-01-01T00:00:00Z
2755836,Christiaan Bonifacius van der Tak,1814-08-12T00:00:00Z,1878-08-08T00:00:00Z
2958277,Charles Baillairgé,1826-09-29T00:00:00Z,1906-05-10T00:00:00Z
2265311,Willem Hendrik Kam,1844-05-03T00:00:00Z,1925-09-29T00:00:00Z
2958106,Charles-Henri Besnard,1881-01-27T00:00:00Z,1946-07-10T00:00:00Z
2272535,Jacques Cuisinier,1915-09-12T00:00:00Z,2000-02-29T00:00:00Z
2266240,Charles Spinola,1564-01-01T00:00:00Z,1622-09-10T00:00:00Z
2267057,Theodosius of Kiev,1029-01-01T00:00:00Z,1074-05-09T00:00:00Z
2958476,Charles Baron,1836-01-01T00:00:00Z,1915-01-01T00:00:00Z
2756604,Lawrence Halprin,1916-07-01T00:00:00Z,2009-10-25T00:00:00Z
1458059,Friedrich Albert Lessel,1767-01-01T00:00:00Z,1822-03-15T00:00:00Z
1456008,Werner Kallmorgen,1902-08-15T00:00:00Z,1979-01-26T00:00:00Z
1457412,Hans Osel,1907-08-30T00:00:00Z,1996-12-28T00:00:00Z
2275418,Leonardo de Figueroa,1650-01-01T00:00:00Z,1730-01-01T00:00:00Z
2746217,Heinrich Blum,1894-01-16T00:00:00Z,1942-01-01T00:00:00Z
2750093,Isroel Shmulson,1913-10-29T00:00:00Z,1974-01-01T00:00:00Z
2754394,Gilbertus van Zinnik,1627-01-01T00:00:00Z,1660-08-12T00:00:00Z
2758422,Gosse van der Gaast,1886-08-04T00:00:00Z,1973-07-22T00:00:00Z
2269403,Semmy Engel,1864-02-19T00:00:00Z,1948-01-01T00:00:00Z
2268145,Bir Shumsher Jung Bahadur Rana,1852-12-10T00:00:00Z,1901-03-05T00:00:00Z
2270835,Wim Quist,1930-10-27T00:00:00Z,
2958103,Charles-Gustave Stoskopf,1907-09-02T00:00:00Z,2004-01-22T00:00:00Z
2271644,Sepp Kaiser,1872-11-22T00:00:00Z,1936-09-25T00:00:00Z
2036350,Oswald Eduard Bieber,1876-09-06T00:00:00Z,1955-08-31T00:00:00Z
2758593,Bernard Maybeck,1862-02-07T00:00:00Z,1957-10-03T00:00:00Z
2272304,Thomas Ustick Walter,1804-09-04T00:00:00Z,1887-10-30T00:00:00Z
2274069,Ottaviano Nonni,1536-01-01T00:00:00Z,1606-08-06T00:00:00Z
2273339,Jacob Hop,1654-07-31T00:00:00Z,1725-10-27T00:00:00Z
1460629,Friedrich Koerte,1854-12-24T00:00:00Z,1934-02-03T00:00:00Z
1460544,Friedrich Krause,1856-03-01T00:00:00Z,1925-08-11T00:00:00Z
1461129,Friedrich Mettegang,1854-06-27T00:00:00Z,1913-09-28T00:00:00Z
2036765,Louis Kooken,1867-03-26T00:00:00Z,1940-04-03T00:00:00Z
1459092,Friedrich Fischer,1879-03-27T00:00:00Z,1944-06-19T00:00:00Z
1462841,Henno Sepmann,1925-02-12T00:00:00Z,1985-09-24T00:00:00Z
2779766,Evert Breman,1859-04-28T00:00:00Z,1926-10-24T00:00:00Z
2776616,Émile Oscar Guillaume,1867-04-21T00:00:00Z,1942-01-01T00:00:00Z
1461564,József Vágó,1877-12-23T00:00:00Z,1947-06-07T00:00:00Z
1461719,Friedrich Richard Ostermeyer,1884-08-24T00:00:00Z,1963-06-24T00:00:00Z
1461649,Friedrich Ratzel,1869-07-17T00:00:00Z,1907-07-05T00:00:00Z
2783024,Frans Ludvig Calonius,1833-11-19T00:00:00Z,1903-12-08T00:00:00Z
1461274,Friedrich Neuhaus,1797-09-20T00:00:00Z,1876-12-04T00:00:00Z
2036388,Oswald Haerdtl,1899-05-17T00:00:00Z,1959-08-09T00:00:00Z
2764303,Jo Vegter,1906-09-16T00:00:00Z,1982-08-07T00:00:00Z
2040590,Otto Schönthal,1878-08-10T00:00:00Z,1961-12-31T00:00:00Z
2287761,Simon Ravenstein,1844-07-28T00:00:00Z,1933-05-12T00:00:00Z
2286840,Silvio Mohr,1882-07-16T00:00:00Z,1965-02-18T00:00:00Z
